Territory,Year,arson,attacks,attempted homicides,bag-snatching,bank robbery,blows,burglary,car theft,child pornography and possession of paedo-pornographic materials,corruption of a minor,counteractions of goods and industrial products,criminal association,culpable injuries,cybercrime,damage followed by arson,damages,exploitation and abetting prostitution,extortions,forest arson,homicides for theft or robbery,homicides from road accident,homicides of mafia,house robbery,infanticides,intellectual property violations,intentional homicides,kidnappings,mafia criminal association,manslaughter,mass murder,menaces,money laundering,moped theft,motorcycle theft,offences,other crimes,pickpocketing,post office robbery,receiving stolen goods,robberies,sexual activity with a minor,sexual violence,shop robbery,shoplifting,smuggling,street robbery,swindles and cyber frauds,terrorist homicides,theft from vehicle,theft of art objets,theft of cargo trucks carrying freights,thefts,total_crime,trafficking and drugs possession,unintentional homicides,usury,all_levels_education,"no educational degree, primary and lower secondary school certificate","tertiary (university, doctoral and specialization courses)",upper and post secondary
Centro,2015,13.9,0.6,1.9,30.4,1.7,20.3,393.9,178.0,1.0,0.2,21.3,1.1,104.2,20.5,8.5,446.7,1.6,16.7,6.7,0.1,2.1,0.0,5.5,0.0,1.8,0.5,1.7,0.0,0.0,0.0,120.5,3.7,30.1,77.8,86.7,719.8,410.7,0.5,45.2,50.9,0.6,6.8,9.4,189.8,0.3,23.6,234.0,0.0,390.2,0.9,1.9,2773.8,5650.9,73.5,3.2,0.7,32.323486,0.0,0.0,0.0
Centro,2016,12.3,0.5,1.8,27.9,1.1,19.5,352.2,172.8,1.0,0.2,15.4,1.3,102.5,22.0,7.3,405.6,1.6,15.5,6.1,0.0,2.1,0.0,4.4,0.0,1.4,0.5,1.7,0.0,0.0,0.0,108.6,4.1,29.2,67.4,22.4,732.0,354.4,0.6,38.7,48.6,0.9,6.7,8.6,173.4,0.1,24.1,241.0,0.0,362.9,1.1,1.4,2490.6,5191.599999999999,81.7,2.9,0.5,31.589509,0.0,0.0,0.0
Centro,2017,17.2,0.4,1.7,27.9,0.7,19.2,342.9,177.2,1.2,0.2,11.6,1.0,107.1,17.8,10.5,418.5,1.4,12.5,9.2,0.0,2.0,0.0,3.9,0.0,0.8,0.4,1.6,0.0,0.0,0.0,113.3,4.9,27.8,64.0,3.6,772.9,359.9,0.4,36.7,45.1,0.8,8.2,8.0,172.2,0.0,23.6,269.3,0.0,336.8,0.8,1.0,2460.2,5236.2,83.3,2.8,0.4,30.12836,0.0,0.0,0.0
Centro,2018,7.2,0.4,1.6,24.2,0.5,19.3,353.1,178.0,1.2,0.2,13.3,0.9,110.4,22.7,7.4,435.1,1.4,14.7,2.4,0.0,1.8,0.0,4.0,0.0,0.5,0.4,1.7,0.1,0.1,0.0,111.7,4.1,21.2,57.7,0.0,758.7,346.9,0.3,34.7,45.5,0.8,8.9,7.7,159.2,0.0,24.7,314.1,0.0,306.6,0.6,0.9,2322.4,5151.1,89.5,2.9,0.2,28.308049,36.560363,16.149344,29.996316
Centro,2019,10.0,0.3,1.7,23.0,0.4,21.0,313.7,158.8,1.3,0.2,10.2,0.7,108.9,27.2,7.4,457.8,1.1,14.1,4.6,0.0,1.8,0.0,3.4,0.0,1.1,0.4,1.3,0.1,0.1,0.0,109.9,4.1,18.3,57.3,0.0,819.7,318.8,0.2,31.5,39.3,1.0,8.4,7.0,138.9,0.0,20.3,337.7,0.0,277.0,0.7,0.6,2094.3,5009.099999999999,83.3,2.9,0.3,26.038615999999998,32.135014,16.542284,27.76153
Centro,2020,10.3,0.3,1.4,15.4,0.2,19.9,209.8,128.0,1.7,0.3,4.8,0.7,93.0,33.2,8.1,406.6,0.6,14.3,4.9,0.0,1.7,0.0,3.3,0.0,0.5,0.4,1.4,0.0,0.1,0.0,109.0,3.1,13.4,40.6,0.0,808.2,170.2,0.2,21.9,33.9,0.6,7.5,5.4,97.9,0.0,18.6,401.0,0.0,187.0,0.4,0.4,1401.5,4195.4,67.6,2.9,0.5,24.836959999999998,33.076522,15.671605,25.229989
Centro,2021,12.6,0.3,1.6,20.0,0.2,21.6,241.6,135.9,1.9,0.2,5.8,0.6,100.6,35.1,8.8,457.1,0.6,16.8,6.6,0.0,1.6,0.0,2.9,0.0,0.2,0.4,1.3,0.0,0.1,0.1,109.4,1.7,15.1,46.5,0.0,842.7,212.3,0.1,20.9,36.5,0.8,8.6,5.3,106.4,0.0,21.3,488.4,0.0,180.8,0.6,0.4,1600.0,4598.5,63.6,2.8,0.2,25.965837999999998,34.73942,14.724687,27.259943999999997
Emilia-Romagna,2018,3.8,0.5,1.2,24.8,0.5,28.0,479.2,51.7,1.5,0.5,6.8,0.6,124.2,17.8,7.4,483.9,1.1,15.9,0.3,0.0,2.9,0.0,4.1,0.0,0.1,0.4,1.6,0.0,0.0,0.0,123.9,2.8,15.3,15.7,0.0,904.5,407.4,0.5,34.3,45.7,1.0,10.3,7.8,213.8,0.0,23.9,299.2,0.0,333.8,0.9,1.5,2621.6,5662.3,65.6,3.7,0.1,17.499003,26.885471000000003,9.670154,15.774735
Emilia-Romagna,2019,5.0,0.2,1.4,19.4,0.8,30.6,413.6,49.0,1.3,0.5,3.7,0.5,126.3,28.2,6.1,474.8,1.2,15.2,1.1,0.0,3.2,0.0,3.5,0.0,0.1,0.5,1.5,0.0,0.1,0.0,124.9,3.8,13.6,16.3,0.0,977.7,357.7,0.3,26.8,40.8,1.2,12.5,6.9,189.1,0.0,21.3,339.9,0.0,310.1,0.6,1.3,2321.7,5455.9,64.1,4.6,0.2,16.621878000000002,23.121966,11.678803,15.438092000000001
Emilia-Romagna,2020,5.2,0.4,1.2,19.3,0.5,28.8,290.0,35.9,1.9,0.3,2.7,0.6,106.2,30.2,6.2,404.0,0.8,14.9,1.5,0.0,2.0,0.0,3.2,0.0,0.2,0.3,1.3,0.0,0.0,0.0,116.0,3.7,12.2,13.1,0.0,916.6,193.8,0.2,21.5,37.7,0.8,10.4,6.0,127.6,0.1,20.5,400.5,0.0,179.9,0.5,0.7,1574.6,4512.1,55.7,3.2,0.2,17.739258,24.152127,10.525235,17.885604
Emilia-Romagna,2021,6.9,0.2,1.3,19.6,0.1,32.6,305.0,35.0,2.0,0.5,3.2,0.8,120.0,39.3,7.2,454.7,0.7,17.3,2.9,0.0,2.2,0.0,3.5,0.0,2.0,0.7,0.9,0.0,0.0,0.0,121.0,2.6,10.7,16.1,0.0,1027.2,208.1,0.2,22.7,47.8,0.9,14.2,6.7,142.1,0.0,30.4,448.6,0.0,166.5,0.4,0.5,1650.9,4920.4,51.5,3.1,0.2,16.393483,23.082340000000002,9.784462999999999,16.049111
Friuli-Venezia Giulia,2018,3.4,0.2,0.8,6.1,0.0,19.6,288.6,24.2,1.6,0.0,4.0,0.5,89.4,11.7,4.4,254.4,1.3,8.9,0.7,0.0,2.5,0.0,2.9,0.0,0.1,0.7,1.1,0.0,0.1,0.0,79.9,2.1,6.0,12.6,0.0,623.7,119.9,0.0,20.5,16.9,0.7,8.7,3.7,112.9,0.2,6.7,392.9,0.0,142.3,0.3,0.0,1215.0,3556.1000000000004,61.6,3.5,0.2,20.087432,25.610642,12.778347,20.391933
Friuli-Venezia Giulia,2019,3.5,0.1,1.9,3.5,0.2,20.4,243.0,18.7,1.2,0.5,5.6,0.5,96.3,13.1,4.7,270.9,2.0,7.7,0.3,0.0,2.1,0.0,1.6,0.1,0.7,0.3,0.9,0.1,0.0,0.0,86.9,1.7,4.8,9.2,0.0,610.4,95.8,0.1,19.0,16.3,0.7,10.2,3.5,100.3,0.2,7.4,481.2,0.0,159.4,0.4,0.1,1117.6,3546.7,47.2,3.0,0.1,18.288202,24.720532,13.02531,17.334283
Friuli-Venezia Giulia,2020,2.7,0.2,0.7,3.5,0.0,21.5,148.1,11.5,1.4,0.7,6.2,0.2,85.2,18.7,5.6,223.9,1.0,10.9,0.2,0.1,1.6,0.0,2.7,0.0,0.2,0.2,0.6,0.0,0.0,0.0,85.8,1.2,3.5,10.5,0.0,622.0,50.5,0.0,17.1,13.1,1.0,10.2,2.1,61.0,0.1,6.7,511.4,0.0,94.1,0.4,0.0,718.6,3154.0,49.1,3.0,0.6,17.030231999999998,23.935212,11.32803,16.324767
